domain,outcome,http_status,protocol_version,capabilities,catalogue_searchable,blockers,top_blocker
dooney.com,checked,200,2026-08-25,8,yes,0,
oreo.com,checked,200,2026-08-25,9,yes,0,
popflexactive.com,checked,200,2026-08-25,8,yes,0,
ashleystewart.com,checked,200,2026-08-25,9,yes,0,
microperfumes.com,checked,200,2026-08-25,9,yes,0,
massivemusicstore.com,checked,200,2026-08-25,9,yes,0,
usecorner.io,checked,200,2026-08-25,9,yes,0,
iamfy.co,checked,200,2026-08-25,8,yes,0,
babyboofashion.com,checked,200,2026-08-25,8,yes,0,
reitmans.com,checked,200,2026-08-25,8,yes,0,
giesswein.com,checked,200,2026-08-25,8,yes,0,
gulahmedshop.com,checked,200,2026-08-25,9,yes,0,
aventon.com,checked,200,2026-08-25,9,yes,0,
matchesfashion.com,checked,200,2026-08-25,9,yes,0,
gonoise.com,checked,200,2026-08-25,8,yes,0,
bloomsburymanor.com,checked,200,2026-08-25,9,yes,0,
harpercollins.co.uk,checked,200,2026-08-25,9,yes,0,
facethefuture.store,checked,200,2026-08-25,8,yes,0,
keychron.com,checked,200,2026-08-25,9,yes,0,
hom.ee,checked,200,2026-08-25,8,yes,0,
blackdiamondequipment.com,checked,200,2026-08-25,9,yes,0,
canadagoose.com,checked,200,2026-08-25,8,yes,0,
wraithesports.com,checked,200,2026-08-25,9,yes,0,
texasbelting.com,checked,200,2026-08-25,8,yes,0,
supersports.co.th,checked,200,2026-08-25,9,yes,0,
labyrinthos.co,checked,200,2026-08-25,9,yes,0,
francfranc.com,checked,200,2026-08-25,9,yes,0,
modcloth.com,checked,200,2026-08-25,8,yes,0,
muji.us,checked,200,2026-08-25,9,yes,0,
shopwss.com,checked,200,2026-08-25,9,yes,0,
robotshop.com,checked,200,2026-08-25,9,yes,0,
kyloeinthewild.com,checked,200,2026-08-25,9,yes,0,
rw-co.com,checked,200,2026-08-25,8,yes,0,
sprayground.com,checked,200,2026-08-25,9,yes,0,
krnglasses.com,checked,200,2026-08-25,8,yes,0,
cabaia.com,checked,200,2026-08-25,8,yes,0,
utrsports.net,checked,200,2026-08-25,8,yes,0,
bostonproper.com,checked,200,2026-08-25,9,yes,0,
aurafragrance.com,checked,200,2026-08-25,9,yes,0,
